Gene stable ID,db7a781d-67d2-4859-a6f5-c167cd64d149
ENSG00000011083,2
ENSG00000011105,8330
ENSG00000011114,2618
ENSG00000011132,590
ENSG00000011143,948
ENSG00000011198,1372
ENSG00000011201,2066
ENSG00000011243,2026
ENSG00000011258,1551
ENSG00000011260,2650
ENSG00000011275,3871
ENSG00000011295,4108
ENSG00000011304,13895
ENSG00000011332,22
ENSG00000011347,907
ENSG00000011376,2047
ENSG00000011405,5660
ENSG00000011422,10514
ENSG00000011426,1085
ENSG00000011451,2873
ENSG00000011454,10496
ENSG00000011465,256584
ENSG00000011478,953
ENSG00000011485,4035
ENSG00000011523,3137
ENSG00000011566,3322
ENSG00000011590,18
ENSG00000011600,6067
ENSG00000011638,4182
ENSG00000011677,13
ENSG00000012048,1203
ENSG00000012061,4248
ENSG00000012124,274
ENSG00000012171,1974
ENSG00000012174,2561
ENSG00000012211,655
ENSG00000012223,181936
ENSG00000012232,2921
ENSG00000012504,0
ENSG00000012660,14087
ENSG00000012779,5379
ENSG00000012817,0
ENSG00000012822,6606
ENSG00000012963,5093
ENSG00000012983,7396
ENSG00000013016,1883
ENSG00000013275,6409
ENSG00000013288,8710
ENSG00000013293,2
ENSG00000013297,68
ENSG00000013306,5765
ENSG00000013364,23038
ENSG00000013374,6514
ENSG00000013375,4400
ENSG00000013392,702
ENSG00000013441,4387
ENSG00000013503,1004
ENSG00000013523,1326
ENSG00000013561,4292
ENSG00000013563,1269
ENSG00000013573,830
ENSG00000013583,4023
ENSG00000013588,15331
ENSG00000013619,632
ENSG00000013725,265
ENSG00000013810,1714
ENSG00000014123,4103
ENSG00000014138,1189
ENSG00000014164,1473
ENSG00000014216,15532
ENSG00000014257,97
ENSG00000014641,8483
ENSG00000014824,5771
ENSG00000014914,1376
ENSG00000014919,3712
ENSG00000015133,2500
ENSG00000015153,1136
ENSG00000015171,9477
ENSG00000015285,1011
ENSG00000015413,145
ENSG00000015475,1357
ENSG00000015479,379
ENSG00000015520,121
ENSG00000015532,3398
ENSG00000015568,1
ENSG00000015592,42
ENSG00000015676,8522
ENSG00000016082,6
ENSG00000016391,1528
ENSG00000016402,876
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,6716
ENSG00000017260,11779
ENSG00000017427,190
ENSG00000017483,2134
ENSG00000017797,5328
ENSG00000018189,2608
ENSG00000018236,3329
ENSG00000018280,1150
ENSG00000018408,7326
ENSG00000018510,9971
ENSG00000018607,1
ENSG00000018610,1783
ENSG00000018625,6
ENSG00000018699,2025
ENSG00000018869,358
ENSG00000019102,485
ENSG00000019144,9591
ENSG00000019169,434
ENSG00000019186,5
ENSG00000019485,338
ENSG00000019505,6064
ENSG00000019549,3091
ENSG00000019582,257294
ENSG00000019991,1239
ENSG00000019995,1721
ENSG00000020129,2471
ENSG00000020181,4701
ENSG00000020219,0
ENSG00000020256,1432
ENSG00000020426,1589
ENSG00000020577,2148
ENSG00000020633,870
ENSG00000020922,1835
ENSG00000021300,463
ENSG00000021355,5157
ENSG00000021461,0
ENSG00000021488,22
ENSG00000021574,2099
ENSG00000021645,654
ENSG00000021762,3961
ENSG00000021776,6208
ENSG00000021826,320
ENSG00000021852,2
ENSG00000022267,6943
ENSG00000022277,6946
ENSG00000022355,6
ENSG00000022556,3335
ENSG00000022567,812
ENSG00000022840,14116
ENSG00000022976,481
ENSG00000023041,3604
ENSG00000023171,207
ENSG00000023191,11637
ENSG00000023228,7396
ENSG00000023287,6060
ENSG00000023318,6294
ENSG00000023330,3403
